	agt	league	split	playoffs	date	game	patch	side	team	ban1	ban2	ban3	ban4	ban5	gamelength	result	kills	deaths	assists	doublekills	triplekills	quadrakills	pentakills	firstblood	team kpm	firstdragon	dragons	opp_dragons	elementaldrakes	opp_elementaldrakes	infernals	mountains	clouds	oceans	dragons (type unknown)	elders	opp_elders	firstherald	heralds	opp_heralds	firstbaron	barons	opp_barons	firsttower	towers	opp_towers	firstmidtower	firsttothreetowers	inhibitors	opp_inhibitors	damagetochampions	dpm	damageshare	damagetakenperminute	damagemitigatedperminute	wardsplaced	wpm	wardskilled	wcpm	controlwardsbought	visionscore	vspm	totalgold	earnedgold	earned gpm	earnedgoldshare	goldspent	gspd	total cs	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	xpat10	csat10	opp_goldat10	opp_xpat10	opp_csat10	golddiffat10	xpdiffat10	csdiffat10	goldat15	xpat15	csat15	opp_goldat15	opp_xpat15	opp_csat15	golddiffat15	xpdiffat15	csdiffat15
10	5656-7254	LPL	Spring	0	2020/1/13 13:17	3	10.1	Blue	LGD Gaming	Pantheon	Elise	Rumble	Thresh	Lissandra	2116	0	8	14	19	0	0	0	0	1	0.2268	0	3	3	3	3	2	1	0	0	NaN	0	0	0	1	1	0	0	2	1	4	9	1	1	0	2	52014	1474.8771	NaN	2198.4216	2314.7637	131	3.7146	75	2.1267	44	316	8.9603	57236	34275	971.8809	NaN	55660	-0.072965	NaN	NaN	218	129	20	NaN	16542	19228	325	14740	17840	328	1802	1388	-3	25888	28834	485	24452	27930	491	1436	904	-6
11	5656-7254	LPL	Spring	0	2020/1/13 13:17	3	10.1	Red	LNG Esports	Akali	Qiyana	Gragas	Fiora	Lucian	2116	1	14	8	41	3	1	0	0	0	0.397	1	3	3	3	3	2	0	1	0	NaN	0	0	1	1	1	1	2	0	0	9	4	0	0	2	0	51611	1463.4499	NaN	2257.9962	2407.0605	138	3.913	61	1.7297	43	267	7.5709	65816	42855	1215.1701	NaN	59875	0.072965	NaN	NaN	253	169	35	NaN	14740	17840	328	16542	19228	325	-1802	-1388	3	24452	27930	491	25888	28834	485	-1436	-904	6
12	5657-7255	LPL	Spring	0	2020/1/14 9:21	1	10.1	Blue	eStar	Elise	Qiyana	Pantheon	Renekton	Nocturne	2108	1	25	19	50	3	0	0	0	0	0.7116	1	4	1	4	1	3	0	1	0	NaN	0	0	1	2	0	NaN	0	0	0	7	2	1	1	1	0	72440	2061.8596	NaN	2710.6736	2444.0323	123	3.5009	83	2.3624	55	312	8.8805	63481	40601	1155.6262	NaN	60255	0.074397	NaN	NaN	245	138	34	NaN	15753	18397	326	15607	17325	321	146	1072	5	22761	26209	473	23515	26620	481	-754	-411	-8
13	5657-7255	LPL	Spring	0	2020/1/14 9:21	1	10.1	Red	Rogue Warriors	Akali	Jarvan IV	Rumble	Ryze	LeBlanc	2108	0	19	25	45	1	0	0	0	1	0.5408	0	1	4	1	4	0	0	0	1	NaN	0	0	0	0	2	NaN	0	0	1	2	7	0	0	0	1	69327	1973.2543	NaN	2652.0968	2259.4782	131	3.7287	54	1.537	50	274	7.7989	57761	34881	992.8178	NaN	55933	-0.074397	NaN	NaN	202	141	20	NaN	15607	17325	321	15753	18397	326	-146	-1072	-5	23515	26620	481	22761	26209	473	754	411	8
14	5657-7256	LPL	Spring	0	2020/1/14 10:22	2	10.1	Blue	Rogue Warriors	Jarvan IV	Rumble	Olaf	Gragas	Braum	1934	0	9	26	30	1	0	0	0	0	0.2792	0	1	4	1	4	0	0	0	1	NaN	0	0	1	2	0	0	0	2	0	3	10	1	0	0	2	66620	2066.8046	NaN	3099.5553	2427.8594	113	3.5057	67	2.0786	45	245	7.6008	48939	27834	863.516	NaN	48100	-0.17145	NaN	NaN	173	128	4	NaN	14295	16921	275	16249	16877	270	-1954	44	5	21854	26339	437	24245	26488	440	-2391	-149	-3
15	5657-7256	LPL	Spring	0	2020/1/14 10:22	2	10.1	Red	eStar	Akali	Aphelios	Elise	Quinn	Mordekaiser	1934	1	26	9	63	2	1	0	0	1	0.8066	1	4	1	4	1	3	0	1	0	NaN	0	0	0	0	2	1	2	0	1	10	3	0	1	2	0	79765	2474.6122	NaN	3201.5615	2112.6577	149	4.6225	56	1.7373	55	263	8.1593	64369	43264	1342.213	NaN	57120	0.17145	NaN	NaN	239	149	20	NaN	16249	16877	270	14295	16921	275	1954	-44	-5	24245	26488	440	21854	26339	437	2391	149	3
16	5658-7257	LPL	Spring	0	2020/1/14 11:21	1	10.1	Blue	Oh My God	Pantheon	Qiyana	Varus	Miss Fortune	Lee Sin	1666	0	5	16	11	0	0	0	0	1	0.1801	1	2	2	2	2	1	0	0	1	NaN	0	0	1	1	0	0	0	1	1	2	7	0	0	0	1	36320	1308.0432	NaN	2495.078	2175.1621	109	3.9256	38	1.3685	41	183	6.5906	43525	25154	905.9064	NaN	41865	-0.065165	NaN	NaN	161	126	0	NaN	15615	18011	348	16001	19528	346	-386	-1517	2	24234	29110	537	23934	29840	543	300	-730	-6
17	5658-7257	LPL	Spring	0	2020/1/14 11:21	1	10.1	Red	JD Gaming	Akali	Lucian	Rumble	Mordekaiser	Irelia	1666	1	16	5	43	3	0	0	0	0	0.5762	0	2	2	2	2	1	0	1	0	NaN	0	0	0	0	1	1	1	0	0	7	2	1	1	1	0	49829	1794.5618	NaN	2118.0432	2303.2293	81	2.9172	60	2.1609	34	204	7.3469	53346	34975	1259.6038	NaN	44685	0.065165	NaN	NaN	183	115	20	NaN	16001	19528	346	15615	18011	348	386	1517	-2	23934	29840	543	24234	29110	537	-300	730	6
18	5658-7258	LPL	Spring	0	2020/1/14 12:13	2	10.1	Blue	Oh My God	Pantheon	Qiyana	Varus	Ryze	Gragas	1852	0	4	14	6	1	0	0	0	1	0.1296	0	1	3	1	3	0	0	1	0	NaN	0	0	1	1	1	0	0	1	1	2	8	1	0	0	1	40015	1296.3823	NaN	2100.3888	2122.3218	133	4.3089	55	1.7819	50	251	8.1317	48966	28698	929.7408	NaN	47573	-0.006328	NaN	NaN	208	150	9	NaN	16065	18872	362	14708	18259	327	1357	613	35	24269	28741	543	24482	31156	522	-213	-2415	21
19	5658-7258	LPL	Spring	0	2020/1/14 12:13	2	10.1	Red	JD Gaming	Akali	Lucian	Rumble	Jarvan IV	Olaf	1852	1	14	4	36	4	1	0	0	0	0.4536	1	3	1	3	1	1	0	0	2	NaN	0	0	0	1	1	1	1	0	0	8	2	0	1	1	0	46901	1519.4708	NaN	2049.1685	2156.3067	109	3.5313	80	2.5918	43	250	8.0994	56971	36703	1189.0821	NaN	47875	0.006328	NaN	NaN	194	141	7	NaN	14708	18259	327	16065	18872	362	-1357	-613	-35	24482	31156	522	24269	28741	543	213	2415	-21
