	agt	league	split	playoffs	date	game	patch	side	team	ban1	ban2	ban3	ban4	ban5	gamelength	result	kills	deaths	assists	doublekills	triplekills	quadrakills	pentakills	firstblood	team kpm	firstdragon	dragons	opp_dragons	elementaldrakes	opp_elementaldrakes	infernals	mountains	clouds	oceans	dragons (type unknown)	elders	opp_elders	firstherald	heralds	opp_heralds	firstbaron	barons	opp_barons	firsttower	towers	opp_towers	firstmidtower	firsttothreetowers	inhibitors	opp_inhibitors	damagetochampions	dpm	damageshare	damagetakenperminute	damagemitigatedperminute	wardsplaced	wpm	wardskilled	wcpm	controlwardsbought	visionscore	vspm	totalgold	earnedgold	earned gpm	earnedgoldshare	goldspent	gspd	total cs	minionkills	monsterkills	monsterkillsownjungle	monsterkillsenemyjungle	cspm	goldat10	xpat10	csat10	opp_goldat10	opp_xpat10	opp_csat10	golddiffat10	xpdiffat10	csdiffat10	goldat15	xpat15	csat15	opp_goldat15	opp_xpat15	opp_csat15	golddiffat15	xpdiffat15	csdiffat15
112	ESPORTSTMNT01/1294725	LCK	Spring	0	2020/2/9 8:48	2	10.02	Blue	DRX	Elise	Olaf	Renekton	Leona	Irelia	1942	1	17	9	35	4	0	0	0	0	0.5252	1	1	3	1	3	0	0	1	0	NaN	0	0	0	1	1	1	1	0	1	9	2	1	1	1	0	60073	1856.0144	NaN	2182.7085	2889.0216	122	3.7693	52	1.6066	49	246	7.6004	61927	40741	1258.7333	NaN	54575	0.06655	NaN	880	236	156	21	34.4799	15094	18143	343	14838	18417	332	256	-274	11	24657	29556	524	22242	27695	485	2415	1861	39
113	ESPORTSTMNT01/1294725	LCK	Spring	0	2020/2/9 8:48	2	10.02	Red	SANDBOX Gaming	Akali	Sett	Lucian	LeBlanc	Syndra	1942	0	9	17	20	1	1	0	0	1	0.2781	0	3	1	3	1	2	0	0	1	NaN	0	0	1	1	1	0	0	1	0	2	9	0	0	0	1	42725	1320.0309	NaN	2570.5458	1985.5613	149	4.6035	49	1.5139	48	278	8.5891	52815	31629	977.2091	NaN	51060	-0.06655	NaN	826	208	150	5	31.9464	14838	18417	332	15094	18143	343	-256	274	-11	22242	27695	485	24657	29556	524	-2415	-1861	-39
114	ESPORTSTMNT01/1294738	LCK	Spring	0	2020/2/9 9:44	3	10.02	Blue	SANDBOX Gaming	Irelia	Ornn	Lee Sin	Leona	Nocturne	2797	0	8	18	17	0	0	0	0	0	0.1716	1	4	3	4	2	0	1	2	1	NaN	0	1	0	0	2	0	0	2	1	5	10	1	0	2	2	81998	1758.9846	NaN	2419.4995	2890.3611	190	4.0758	105	2.2524	74	375	8.0443	75240	45333	972.4634	NaN	73160	-0.161751	NaN	1258	297	206	28	33.3572	14970	18578	334	15994	19425	338	-1024	-847	-4	22615	28967	528	25679	31377	557	-3064	-2410	-29
115	ESPORTSTMNT01/1294738	LCK	Spring	0	2020/2/9 9:44	3	10.02	Red	DRX	Lucian	Akali	Sett	Quinn	Blitzcrank	2797	1	18	8	47	1	0	0	0	1	0.3861	0	3	4	2	4	0	0	2	0	NaN	1	0	1	2	0	1	2	0	0	10	5	0	1	2	2	85765	1839.7926	NaN	2481.9664	2538.2124	221	4.7408	111	2.3811	74	474	10.168	86315	56408	1210.0393	NaN	86035	0.161751	NaN	1229	326	192	35	33.3572	15994	19425	338	14970	18578	334	1024	847	4	25679	31377	557	22615	28967	528	3064	2410	29
116	ESPORTSTMNT01/1294750	LCK	Spring	0	2020/2/9 11:03	1	10.02	Blue	Afreeca Freecs	Diana	Yuumi	Sett	Soraka	Mordekaiser	1957	0	8	18	19	1	0	0	0	0	0.2453	0	1	4	1	4	1	0	0	0	NaN	0	0	1	1	1	0	0	1	0	4	7	0	1	0	1	47023	1441.6863	NaN	2134.3383	1853.8375	156	4.7828	53	1.6249	61	294	9.0138	54042	32703	1002.6469	NaN	53500	-0.059573	NaN	851	203	152	9	32.3148	15282	16481	303	17087	18332	311	-1805	-1851	-8	23767	26624	481	26644	29952	501	-2877	-3328	-20
117	ESPORTSTMNT01/1294750	LCK	Spring	0	2020/2/9 11:03	1	10.02	Red	Hanwha Life Esports	Akali	Lucian	Ashe	Blitzcrank	Renekton	1957	1	18	8	47	3	1	0	0	1	0.5519	1	4	1	4	1	2	0	1	1	NaN	0	0	0	1	1	1	1	0	1	7	4	1	0	1	0	50125	1536.791	NaN	2307.256	2737.6495	123	3.7711	68	2.0848	56	247	7.5728	60724	39385	1207.5115	NaN	56785	0.059573	NaN	821	223	156	9	32.0082	17087	18332	311	15282	16481	303	1805	1851	8	26644	29952	501	23767	26624	481	2877	3328	20
118	ESPORTSTMNT01/1294784	LCK	Spring	0	2020/2/9 12:31	2	10.02	Blue	Hanwha Life Esports	Lucian	Jarvan IV	Akali	Kennen	Blitzcrank	1640	0	4	16	8	0	0	0	0	1	0.1463	1	1	3	1	3	0	1	0	0	NaN	0	0	0	0	2	0	0	1	0	1	9	0	0	0	1	33709	1233.2561	NaN	2674.6463	2648.3415	89	3.2561	48	1.7561	50	147	5.378	42056	23950	876.2195	NaN	41050	-0.161254	NaN	749	160	134	0	33.2561	14386	17346	323	14576	18209	323	-190	-863	0	22187	27318	493	25476	29195	503	-3289	-1877	-10
119	ESPORTSTMNT01/1294784	LCK	Spring	0	2020/2/9 12:31	2	10.02	Red	Afreeca Freecs	Yuumi	Taliyah	Sett	Diana	Olaf	1640	1	16	4	24	2	0	0	0	0	0.5854	0	3	1	3	1	2	0	0	1	NaN	0	0	1	2	0	1	1	0	1	9	1	1	1	1	0	52089	1905.6951	NaN	2051.3049	1769.8171	123	4.5	50	1.8293	43	259	9.4756	52830	34724	1270.3902	NaN	48250	0.161254	NaN	740	180	90	23	33.6585	14576	18209	323	14386	17346	323	190	863	0	25476	29195	503	22187	27318	493	3289	1877	10
120	ESPORTSTMNT01/1294813	LCK	Spring	0	2020/2/9 13:22	3	10.02	Blue	Afreeca Freecs	Yuumi	Jarvan IV	Rumble	Ornn	Mordekaiser	2208	1	15	10	29	2	1	0	0	1	0.4076	1	4	2	4	2	1	0	2	1	NaN	0	0	1	2	0	1	2	0	1	11	1	1	1	3	0	70308	1910.5435	NaN	2473.0435	2625.462	154	4.1848	75	2.038	52	332	9.0217	69249	45349	1232.3098	NaN	65220	0.124343	NaN	912	290	184	28	32.663	17078	19414	328	14578	18112	321	2500	1302	7	25457	28863	511	23271	29367	516	2186	-504	-5
121	ESPORTSTMNT01/1294813	LCK	Spring	0	2020/2/9 13:22	3	10.02	Red	Hanwha Life Esports	Akali	Lucian	Sett	Aatrox	Leona	2208	0	10	15	20	2	0	0	0	0	0.2717	0	2	4	2	4	0	0	2	0	NaN	0	0	0	0	2	0	0	2	0	1	11	0	0	0	3	53911	1464.9728	NaN	2551.9022	2053.5054	146	3.9674	58	1.5761	71	274	7.4457	60167	36267	985.5163	NaN	57585	-0.124343	NaN	963	245	178	10	32.8261	14578	18112	321	17078	19414	328	-2500	-1302	-7	23271	29367	516	25457	28863	511	-2186	504	5
122	ESPORTSTMNT01/1305569	LCK	Spring	0	2020/2/12 7:05	1	10.02	Blue	SeolHaeOne Prince	Lucian	Jarvan IV	Sett	Aatrox	Renekton	2498	0	12	13	17	0	0	0	0	1	0.2882	0	3	3	3	3	0	0	3	0	NaN	0	0	1	1	1	0	0	1	0	3	7	0	0	0	1	59541	1430.1281	NaN	2988.1585	3546.9175	205	4.9239	121	2.9063	65	419	10.0641	67474	40616	975.5645	NaN	67200	0.023593	NaN	1056	284	192	28	32.1857	15411	18033	314	16269	19175	346	-858	-1142	-32	24424	29557	501	24826	30510	555	-402	-953	-54
123	ESPORTSTMNT01/1305569	LCK	Spring	0	2020/2/12 7:05	1	10.02	Red	Afreeca Freecs	Qiyana	Pantheon	Akali	Blitzcrank	Nautilus	2498	1	13	12	23	2	0	0	0	0	0.3122	1	3	3	3	3	1	0	1	1	NaN	0	0	0	1	1	1	1	0	1	7	3	1	1	1	0	96847	2326.189	NaN	1918.8711	1694.8919	222	5.3323	97	2.3299	75	425	10.2082	71738	44880	1077.9824	NaN	65633	-0.023593	NaN	1079	237	165	11	31.6093	16269	19175	346	15411	18033	314	858	1142	32	24826	30510	555	24424	29557	501	402	953	54
124	ESPORTSTMNT01/1305601	LCK	Spring	0	2020/2/12 9:06	2	10.02	Blue	Afreeca Freecs	Qiyana	Pantheon	Rumble	Rakan	Ornn	2352	0	4	17	11	0	0	0	0	1	0.102	1	1	4	1	4	0	0	1	0	NaN	0	0	0	0	2	0	0	2	0	3	11	0	0	0	3	61761	1575.5357	NaN	2076.4031	1710.102	142	3.6224	97	2.4745	69	290	7.398	56486	31118	793.8265	NaN	54125	-0.141631	NaN	932	189	149	10	28.5969	14341	16866	287	13820	17005	297	521	-139	-10	22368	27429	477	23696	27301	471	-1328	128	6
125	ESPORTSTMNT01/1305601	LCK	Spring	0	2020/2/12 9:06	2	10.02	Red	SeolHaeOne Prince	Lucian	Akali	Jarvan IV	Irelia	Aatrox	2352	1	17	4	39	0	0	0	0	0	0.4337	0	4	1	4	1	0	3	0	1	NaN	0	0	1	2	0	1	2	0	1	11	3	1	1	3	0	58726	1498.1122	NaN	2491.25	2907.5765	195	4.9745	81	2.0663	70	396	10.102	69499	44131	1125.7908	NaN	62375	0.141631	NaN	844	245	138	34	27.7806	13820	17005	297	14341	16866	287	-521	139	10	23696	27301	471	22368	27429	477	1328	-128	-6
126	ESPORTSTMNT01/1305613	LCK	Spring	0	2020/2/12 9:55	3	10.02	Blue	SeolHaeOne Prince	Lucian	Jarvan IV	Sett	Ashe	Varus	1728	0	2	12	5	0	0	0	0	0	0.0694	0	0	3	0	3	0	0	0	0	NaN	0	0	1	1	1	0	0	0	0	1	9	0	0	0	1	35818	1243.6806	NaN	2296.875	2228.4028	99	3.4375	39	1.3542	38	175	6.0764	41144	22140	768.75	NaN	38585	-0.167745	NaN	734	128	107	8	29.9306	13249	14987	238	16515	17718	299	-3266	-2731	-61	20597	24453	423	25755	27604	492	-5158	-3151	-69
127	ESPORTSTMNT01/1305613	LCK	Spring	0	2020/2/12 9:55	3	10.02	Red	Afreeca Freecs	Qiyana	Olaf	Aphelios	Syndra	Ornn	1728	1	12	2	35	2	1	0	0	1	0.4167	1	3	0	3	0	0	1	1	1	NaN	0	0	0	1	1	0	0	0	1	9	1	1	1	1	0	45823	1591.0764	NaN	1998.5764	1982.0833	117	4.0625	35	1.2153	48	258	8.9583	52400	33396	1159.5833	NaN	45650	0.167745	NaN	777	161	84	22	32.5694	16515	17718	299	13249	14987	238	3266	2731	61	25755	27604	492	20597	24453	423	5158	3151	69
128	ESPORTSTMNT01/1305624	LCK	Spring	0	2020/2/12 10:52	1	10.02	Blue	Griffin	Elise	Ornn	Sett	Irelia	LeBlanc	2345	0	3	9	5	0	0	0	0	1	0.0768	0	1	5	1	4	0	0	1	0	NaN	0	1	1	2	0	0	0	1	0	3	10	0	0	0	2	41265	1055.8209	NaN	2365.9701	1644.5117	155	3.9659	57	1.4584	58	292	7.4712	59961	34664	886.9254	NaN	58190	-0.111327	NaN	997	249	194	1	31.8806	14781	18475	336	15304	19342	354	-523	-867	-18	23516	29792	535	24147	31753	589	-631	-1961	-54
129	ESPORTSTMNT01/1305624	LCK	Spring	0	2020/2/12 10:52	1	10.02	Red	SANDBOX Gaming	Akali	Aphelios	Lucian	Yasuo	Renekton	2345	1	9	3	23	1	0	0	0	0	0.2303	1	5	1	4	1	0	1	2	1	NaN	1	0	0	0	2	1	1	0	1	10	3	1	1	2	0	56614	1448.5458	NaN	1854.8316	1889.2964	145	3.71	83	2.1237	64	357	9.1343	69956	44659	1142.661	NaN	65050	0.111327	NaN	1057	269	187	5	33.9275	15304	19342	354	14781	18475	336	523	867	18	24147	31753	589	23516	29792	535	631	1961	54
130	ESPORTSTMNT01/1295834	LCK	Spring	0	2020/2/12 12:29	2	10.02	Blue	SANDBOX Gaming	Taliyah	Ornn	Renekton	Irelia	Jayce	2392	0	16	21	34	1	0	0	0	0	0.4013	0	4	2	4	2	0	4	0	0	NaN	0	0	1	1	1	0	0	0	0	5	8	1	0	0	1	82047	2058.0351	NaN	2806.2793	2901.5719	179	4.49	107	2.6839	56	404	10.1338	66543	40767	1022.5836	NaN	63030	-0.004275	NaN	1002	248	169	13	31.3545	15071	18069	326	15854	18058	337	-783	11	-11	24308	28012	513	25471	28825	540	-1163	-813	-27
131	ESPORTSTMNT01/1295834	LCK	Spring	0	2020/2/12 12:29	2	10.02	Red	Griffin	Akali	Aatrox	Sett	Olaf	LeBlanc	2392	1	21	16	48	2	0	0	0	1	0.5268	1	2	4	2	4	0	0	1	1	NaN	0	0	0	1	1	0	0	0	1	8	5	0	1	1	0	86350	2165.9699	NaN	2635.1338	2090.694	179	4.49	86	2.1572	57	320	8.0268	69845	44069	1105.4097	NaN	63300	0.004275	NaN	954	238	179	10	29.8997	15854	18058	337	15071	18069	326	783	-11	11	25471	28825	540	24308	28012	513	1163	813	27
132	ESPORTSTMNT01/1295840	LCK	Spring	0	2020/2/12 13:31	3	10.02	Blue	Griffin	Elise	Sett	Olaf	LeBlanc	Zoe	2172	1	12	3	31	1	0	0	0	1	0.3315	0	3	1	3	1	0	1	0	2	NaN	0	0	1	1	1	1	1	0	0	7	4	0	0	1	0	48331	1335.1105	NaN	2025.3039	1761.2155	169	4.6685	67	1.8508	60	332	9.1713	62849	39317	1086.105	NaN	55675	-0.043058	NaN	925	258	182	7	32.6796	14766	18669	332	15608	18957	361	-842	-288	-29	22676	28596	515	24738	29513	552	-2062	-917	-37
133	ESPORTSTMNT01/1295840	LCK	Spring	0	2020/2/12 13:31	3	10.02	Red	SANDBOX Gaming	Akali	Ornn	Taliyah	Yasuo	Irelia	2172	0	3	12	6	1	0	0	0	0	0.0829	1	1	3	1	3	0	0	1	0	NaN	0	0	0	1	1	0	0	1	1	4	7	1	1	0	1	42111	1163.2873	NaN	1967.6796	2247.8453	128	3.5359	93	2.5691	59	293	8.0939	58366	34834	962.2652	NaN	58125	0.043058	NaN	977	260	197	4	34.1713	15608	18957	361	14766	18669	332	842	288	29	24738	29513	552	22676	28596	515	2062	917	37
134	ESPORTSTMNT01/1305843	LCK	Spring	0	2020/2/13 7:52	1	10.02	Blue	KT Rolster	Rek'Sai	Gragas	Karthus	LeBlanc	Sejuani	1918	0	3	12	7	0	0	0	0	0	0.0938	1	1	4	1	4	0	0	1	0	NaN	0	0	1	2	0	0	0	1	0	2	11	0	0	0	3	38596	1207.3827	NaN	2510.7404	2212.5235	104	3.2534	43	1.3452	46	225	7.0386	49632	28690	897.4974	NaN	48260	-0.140001	NaN	869	191	130	4	33.1595	15172	18986	354	15285	18594	341	-113	392	13	22896	28805	527	24242	29963	549	-1346	-1158	-22
135	ESPORTSTMNT01/1305843	LCK	Spring	0	2020/2/13 7:52	1	10.02	Red	T1	Pantheon	Soraka	Ornn	Leona	Rumble	1918	1	12	3	23	1	0	0	0	1	0.3754	0	4	1	4	1	3	0	0	1	NaN	0	0	0	0	2	1	1	0	1	11	2	1	1	3	0	58211	1820.9906	NaN	1986.3816	2704.8175	104	3.2534	55	1.7205	41	248	7.7581	60148	39206	1226.4651	NaN	55525	0.140001	NaN	905	218	152	18	35.1303	15285	18594	341	15172	18986	354	113	-392	-13	24242	29963	549	22896	28805	527	1346	1158	22
136	ESPORTSTMNT01/1305850	LCK	Spring	0	2020/2/13 8:43	2	10.02	Blue	T1	Pantheon	Soraka	Miss Fortune	Renekton	Mordekaiser	1613	1	9	3	13	0	0	0	0	0	0.3348	1	3	0	3	0	1	1	1	0	NaN	0	0	0	1	1	1	1	0	1	10	2	0	1	2	0	47405	1763.3602	NaN	2152.1513	2419.38	113	4.2033	56	2.0831	40	235	8.7415	52274	34443	1281.2027	NaN	47320	0.176132	NaN	819	217	108	46	38.5369	15974	18998	332	14992	17500	318	982	1498	14	26592	31856	549	22869	27370	503	3723	4486	46
137	ESPORTSTMNT01/1305850	LCK	Spring	0	2020/2/13 8:43	2	10.02	Red	KT Rolster	Aphelios	Sett	Akali	Rek'Sai	Diana	1613	0	3	9	6	0	0	0	0	1	0.1116	0	0	3	0	3	0	0	0	0	NaN	0	0	1	1	1	0	0	1	0	2	10	1	0	0	2	34775	1293.5524	NaN	2439.7644	1638.3013	104	3.8686	51	1.8971	43	200	7.4396	40689	22858	850.2666	NaN	39660	-0.176132	NaN	729	126	94	4	31.8041	14992	17500	318	15974	18998	332	-982	-1498	-14	22869	27370	503	26592	31856	549	-3723	-4486	-46
138	ESPORTSTMNT01/1305855	LCK	Spring	0	2020/2/13 9:38	1	10.02	Blue	DRX	Yuumi	Renekton	Sett	Xayah	Varus	1457	1	11	3	20	3	0	0	0	0	0.453	1	3	0	3	0	1	0	1	1	NaN	0	0	0	1	1	0	0	0	1	8	0	1	1	1	0	43012	1771.256	NaN	1984.9828	1576.1839	79	3.2533	53	2.1826	35	205	8.442	48342	32103	1322.0178	NaN	44400	0.265306	NaN	777	188	113	25	39.7392	17668	19801	361	14789	19056	287	2879	745	74	30175	33638	590	21339	29280	438	8836	4358	152
139	ESPORTSTMNT01/1305855	LCK	Spring	0	2020/2/13 9:38	1	10.02	Red	Hanwha Life Esports	Lucian	Akali	Aphelios	Nautilus	Thresh	1457	0	3	11	7	0	0	0	0	1	0.1235	0	0	3	0	3	0	0	0	0	NaN	0	0	1	1	1	0	0	0	0	0	8	0	0	0	1	22406	922.6905	NaN	2613.7268	2308.9499	101	4.1592	28	1.1531	41	160	6.5889	37499	21260	875.4976	NaN	34000	-0.265306	NaN	611	150	106	4	31.3384	14789	19056	287	17668	19801	361	-2879	-745	-74	21339	29280	438	30175	33638	590	-8836	-4358	-152
140	ESPORTSTMNT01/1305891	LCK	Spring	0	2020/2/13 11:32	2	10.02	Blue	Hanwha Life Esports	Lee Sin	Lucian	Akali	Senna	LeBlanc	1803	0	10	23	21	1	0	0	0	0	0.3328	0	0	4	0	4	0	0	0	0	NaN	0	0	1	2	0	0	0	1	0	1	8	0	0	0	1	54427	1811.2146	NaN	3123.1947	3120.5657	96	3.1947	33	1.0982	50	199	6.6223	47786	28017	932.3461	NaN	47540	-0.075752	NaN	704	184	154	5	29.5507	14035	17721	290	15292	19218	315	-1257	-1497	-25	22361	28943	475	24754	30632	513	-2393	-1689	-38
141	ESPORTSTMNT01/1305891	LCK	Spring	0	2020/2/13 11:32	2	10.02	Red	DRX	Yuumi	Sett	Aphelios	Soraka	Renekton	1803	1	23	10	58	3	1	0	0	1	0.7654	1	4	0	4	0	1	2	1	0	NaN	0	0	0	0	2	1	1	0	1	8	1	1	1	1	0	73294	2439.0682	NaN	2725.7571	4610.2496	98	3.2612	37	1.2313	41	220	7.3211	59563	39794	1324.2596	NaN	51283	0.075752	NaN	771	223	125	20	33.0782	15292	19218	315	14035	17721	290	1257	1497	25	24754	30632	513	22361	28943	475	2393	1689	38
142	ESPORTSTMNT01/1306047	LCK	Spring	0	2020/2/14 5:50	1	10.02	Blue	DAMWON Gaming	Pantheon	Zoe	Ornn	Jarvan IV	Elise	1948	0	0	7	0	0	0	0	0	0	0	1	3	2	3	2	1	1	1	0	NaN	0	0	1	1	1	0	0	1	0	3	8	0	0	0	1	47004	1447.7618	NaN	1492.0842	1656.499	116	3.5729	55	1.694	49	259	7.9774	49286	28038	863.5934	NaN	47750	-0.084925	NaN	918	178	139	0	33.7577	15363	19074	366	15285	18860	366	78	214	0	23164	28590	553	23610	29502	553	-446	-912	0
143	ESPORTSTMNT01/1306047	LCK	Spring	0	2020/2/14 5:50	1	10.02	Red	Gen.G	Akali	Mordekaiser	Syndra	Lee Sin	Renekton	1948	1	7	0	12	2	1	0	0	1	0.2156	0	2	3	2	3	0	0	2	0	NaN	0	0	0	1	1	1	1	0	1	8	3	1	1	1	0	36121	1112.5565	NaN	2198.193	2524.5893	126	3.8809	59	1.8172	55	263	8.1006	57016	35768	1101.6838	NaN	51985	0.084925	NaN	934	219	155	8	35.5133	15285	18860	366	15363	19074	366	-78	-214	0	23610	29502	553	23164	28590	553	446	912	0
144	ESPORTSTMNT01/1306112	LCK	Spring	0	2020/2/14 8:45	2	10.02	Blue	Gen.G	Mordekaiser	Aatrox	Syndra	Kled	Lucian	1746	1	19	5	40	3	0	0	0	0	0.6529	0	3	1	3	1	2	0	0	1	NaN	0	0	1	2	0	1	1	0	1	9	2	1	1	1	0	57252	1967.4227	NaN	2696.0481	2522.0619	101	3.4708	58	1.9931	45	233	8.0069	56748	37561	1290.756	NaN	50800	0.1489	NaN	759	188	99	38	32.543	16043	18534	326	16192	18492	316	-149	42	10	28485	31602	498	23875	27480	486	4610	4122	12
145	ESPORTSTMNT01/1306112	LCK	Spring	0	2020/2/14 8:45	2	10.02	Red	DAMWON Gaming	Akali	Ornn	Zoe	Kalista	Xayah	1746	0	5	19	7	0	0	0	0	1	0.1718	1	1	3	1	3	0	0	1	0	NaN	0	0	0	0	2	0	0	1	0	2	9	0	0	0	1	49919	1715.4296	NaN	2672.0619	1979.3814	115	3.9519	45	1.5464	44	215	7.3883	45407	26220	901.0309	NaN	43760	-0.1489	NaN	766	182	117	24	32.5773	16192	18492	316	16043	18534	326	149	-42	-10	23875	27480	486	28485	31602	498	-4610	-4122	-12
146	ESPORTSTMNT01/1306124	LCK	Spring	0	2020/2/14 9:36	1	10.02	Blue	Griffin	Pantheon	Soraka	Rumble	Syndra	LeBlanc	2522	1	16	6	38	1	0	0	0	1	0.3807	0	4	3	4	3	1	0	3	0	NaN	0	0	0	0	2	0	0	0	0	7	3	1	0	1	0	107301	2552.7597	NaN	2588.9215	3206.5979	199	4.7343	82	1.9508	65	375	8.9215	70059	42957	1021.9746	NaN	60875	-0.048174	NaN	1031	261	189	7	30.7375	15459	18059	341	14501	17880	335	958	179	6	24270	30095	564	23614	28728	542	656	1367	22
147	ESPORTSTMNT01/1306124	LCK	Spring	0	2020/2/14 9:36	1	10.02	Red	SeolHaeOne Prince	Akali	Aphelios	Sett	Jarvan IV	Elise	2522	0	6	16	13	0	0	0	0	0	0.1427	1	3	4	3	4	0	1	2	0	NaN	0	0	1	2	0	0	0	0	1	3	7	0	1	0	1	75000	1784.2982	NaN	3250.2062	3444.8612	171	4.0682	98	2.3315	69	363	8.636	63665	36563	869.8573	NaN	63880	0.048174	NaN	1008	274	184	22	30.4996	14501	17880	335	15459	18059	341	-958	-179	-6	23614	28728	542	24270	30095	564	-656	-1367	-22
148	ESPORTSTMNT01/1306165	LCK	Spring	0	2020/2/14 11:59	2	10.02	Blue	SeolHaeOne Prince	Lucian	Senna	Sett	LeBlanc	Syndra	2317	1	26	21	56	4	0	0	0	1	0.6733	1	4	2	4	1	1	0	2	1	NaN	0	1	1	2	0	0	0	2	1	9	4	1	1	3	0	111915	2898.101	NaN	3049.3569	3178.0837	187	4.8425	82	2.1234	64	389	10.0734	71199	46188	1196.0639	NaN	66830	0.014089	NaN	915	252	141	28	30.2201	16405	18422	331	15303	18090	325	1102	332	6	23958	27600	503	24499	28953	501	-541	-1353	2
149	ESPORTSTMNT01/1306165	LCK	Spring	0	2020/2/14 11:59	2	10.02	Red	Griffin	Akali	Rumble	Soraka	Pantheon	Braum	2317	0	21	26	35	2	0	0	0	0	0.5438	0	2	4	1	4	0	0	1	0	NaN	1	0	0	0	2	1	2	0	0	4	9	0	0	0	3	89182	2309.4174	NaN	3659.5857	4858.8606	166	4.2987	90	2.3306	69	309	8.0017	68478	43467	1125.6021	NaN	65895	-0.014089	NaN	900	244	177	17	29.6245	15303	18090	325	16405	18422	331	-1102	-332	-6	24499	28953	501	23958	27600	503	541	1353	-2
150	ESPORTSTMNT01/1306179	LCK	Spring	0	2020/2/14 12:53	3	10.02	Blue	Griffin	Qiyana	Soraka	Rumble	Pyke	Rakan	2767	1	13	9	29	2	0	0	0	1	0.2819	0	5	3	4	3	1	0	3	0	NaN	1	0	1	1	0	0	0	2	0	7	6	1	0	1	0	90931	1971.76	NaN	2449.8085	2611.095	248	5.3777	123	2.6671	76	438	9.4977	79631	50030	1084.8572	NaN	73008	-0.046191	NaN	1294	282	209	4	34.1742	15479	18850	343	14721	18707	335	758	143	8	22659	28792	528	22230	28964	527	429	-172	1
151	ESPORTSTMNT01/1306179	LCK	Spring	0	2020/2/14 12:53	3	10.02	Red	SeolHaeOne Prince	Akali	Sett	Miss Fortune	Thresh	Yasuo	2767	0	9	13	20	2	1	0	0	0	0.1952	1	3	5	3	4	0	1	2	0	NaN	0	1	0	0	1	1	2	0	1	6	7	0	1	0	1	67703	1468.081	NaN	2672.9599	2582.4937	243	5.2692	110	2.3853	87	465	10.0831	78190	48589	1053.6104	NaN	76460	0.046191	NaN	1184	333	225	34	32.8948	14721	18707	335	15479	18850	343	-758	-143	-8	22230	28964	527	22659	28792	528	-429	172	-1
152	ESPORTSTMNT01/1306343	LCK	Spring	0	2020/2/15 7:46	1	10.02	Blue	Afreeca Freecs	Soraka	Mordekaiser	Jarvan IV	Thresh	Ornn	2177	1	14	4	33	2	0	0	0	1	0.3859	0	2	3	2	3	2	0	0	0	NaN	0	0	1	1	0	1	2	0	0	10	3	1	0	3	0	78082	2152.0073	NaN	3000.4961	2865.6959	156	4.2995	67	1.8466	60	305	8.4061	67465	43882	1209.4258	NaN	61625	0.079993	NaN	940	249	162	31	32.7699	14814	19041	332	15735	19018	358	-921	23	-26	24205	31265	537	23524	30294	564	681	971	-27
153	ESPORTSTMNT01/1306343	LCK	Spring	0	2020/2/15 7:46	1	10.02	Red	DRX	Akali	Lucian	Aphelios	Rakan	Ashe	2177	0	4	14	12	0	0	0	0	0	0.1102	1	3	2	3	2	1	0	1	1	NaN	0	0	0	0	1	0	0	2	1	3	10	0	1	0	3	75428	2078.8608	NaN	2753.4681	2322.2784	116	3.1971	87	2.3978	45	280	7.717	58488	34905	962.0119	NaN	56885	-0.079993	NaN	1062	207	156	4	34.9747	15735	19018	358	14814	19041	332	921	-23	26	23524	30294	564	24205	31265	537	-681	-971	27
154	ESPORTSTMNT01/1296527	LCK	Spring	0	2020/2/15 8:50	2	10.02	Blue	DRX	Renekton	Pantheon	Lucian	Kennen	Fiora	2009	1	11	12	24	2	0	0	0	0	0.3285	1	1	3	1	3	0	0	0	1	NaN	0	0	1	2	0	1	1	0	0	9	3	1	1	1	0	79563	2376.1971	NaN	2064.3405	2597.7402	121	3.6137	49	1.4634	42	255	7.6157	62217	40347	1204.9876	NaN	56275	0.060412	NaN	922	236	158	21	34.5844	15734	19153	378	15562	18800	330	172	353	48	25871	30924	563	24832	29643	493	1039	1281	70
155	ESPORTSTMNT01/1296527	LCK	Spring	0	2020/2/15 8:50	2	10.02	Red	Afreeca Freecs	Akali	Sett	Aphelios	LeBlanc	Mordekaiser	2009	0	12	11	27	1	0	0	0	1	0.3584	0	3	1	3	1	2	0	1	0	NaN	0	0	0	0	2	0	0	1	1	3	9	0	0	0	1	43952	1312.6531	NaN	3164.6192	3065.4057	111	3.3151	70	2.0906	55	300	8.9597	54781	32911	982.9069	NaN	52975	-0.060412	NaN	852	170	117	12	30.5226	15562	18800	330	15734	19153	378	-172	-353	-48	24832	29643	493	25871	30924	563	-1039	-1281	-70
156	ESPORTSTMNT01/1306370	LCK	Spring	0	2020/2/15 9:51	3	10.02	Blue	Afreeca Freecs	Soraka	Mordekaiser	Jarvan IV	Nidalee	Lee Sin	1506	0	3	8	3	0	0	0	0	1	0.1195	0	1	2	1	2	0	0	0	1	NaN	0	0	1	1	1	0	0	1	0	4	7	0	0	0	1	36844	1467.8884	NaN	2164.8207	1321.7928	95	3.7849	29	1.1554	44	183	7.2908	41979	25240	1005.5777	NaN	39843	0.000452	NaN	692	199	133	21	35.498	14557	18654	317	15359	19487	358	-802	-833	-41	23658	29772	502	25036	30854	572	-1378	-1082	-70
